date,cases,deaths,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,w1_change_cases,w1_change_deaths,w2_change_cases,w2_change_deaths
2020-11-03,214871.0,8855.0,,,0.006915777373400785,0.0033879164313946925,0.014078214370482754,-0.00022586109542631282
2020-11-04,217666.0,8890.0,,,0.00880247718982294,0.0026996625421822273,0.01628182628430715,0.00843644544431946
2020-11-05,220566.0,8937.0,,,0.011733449398366022,0.00022378874342620565,0.019159797974302475,0.007720711648204095
2020-11-06,223950.0,8975.0,,,0.009586961375306988,-0.0008913649025069638,0.015289127037285109,0.007799442896935933
2020-11-07,227985.0,9015.0,,,0.00664956027808847,0.0011092623405435386,0.012031493299997807,0.007986688851913478
2020-11-08,230894.0,9020.0,,,0.009917971017003473,0.003658536585365854,0.018042911465867454,0.003991130820399113
2020-11-09,234296.0,9024.0,,,0.004583945095093386,0.0009973404255319148,0.005804623211663878,0.0026595744680851063
2020-11-10,238657.0,9086.0,,,0.006448585208060103,-0.0035219018269865726,0.009670782755167457,0.0020911292097732775
2020-11-11,243368.0,9145.0,,,0.006689457940238651,0.005576817933296884,0.008415239472732651,0.009294696555494806
2020-11-12,248856.0,9194.0,,,0.006582119780113801,0.007287361322601697,0.011802005979361558,0.007504894496410702
2020-11-13,254387.0,9224.0,,,0.0050199106086395925,0.008456201214223764,0.007189832813783723,-0.0009757155247181266
2020-11-14,259938.0,9274.0,,,0.004720356392678254,0.00668535691179642,0.009625372204140987,-0.0009704550355833513
2020-11-15,265137.0,9312.0,,,0.007075587337866839,0.00032216494845360824,0.0012446395636972584,0.004080756013745705
2020-11-16,269613.0,9325.0,,,0.0010607797101771798,0.0016085790884718498,-0.0007714761528561309,0.002037533512064343
2020-11-17,275513.0,9355.0,,,0.002791156860111864,0.005451630144307857,-0.000813028786300465,0.016034206306787813
2020-11-18,281852.0,9465.0,,,0.001490143763393554,0.0035921817221341787,0.0069256205384386135,0.008874801901743265
2020-11-19,288978.0,9581.0,,,0.004495151880073916,0.00020874647740319382,0.014810816048280492,0.007410499947813381
2020-11-20,295786.0,9689.0,,,0.0018662140872117003,-0.008979254825059346,0.016751976090822417,0.006295799360099081
2020-11-21,302564.0,9801.0,,,0.0042139844793167725,-0.007244158759310274,0.02018085429859468,0.003775124987246199
2020-11-22,309639.0,9842.0,,,-0.004992911099699973,0.0035561877667140826,0.00502197720571375,0.002844950213371266
2020-11-23,314401.0,9870.0,,,-0.0015712418217499308,0.0004052684903748733,0.0049872614908985655,0.0014184397163120568
2020-11-24,321070.0,9951.0,,,-0.003092783505154639,0.009948748869460356,0.010904164200953062,0.008843332328409205
2020-11-25,327829.0,10095.0,,,0.004673168023573265,0.004952947003467063,0.005929920781871037,0.007528479445269936
2020-11-26,336254.0,10213.0,,,0.008865322048213553,0.006756095172818956,0.010548573399870337,0.01272887496328209
2020-11-27,343614.0,10234.0,,,0.012813796876727956,0.014461598592925543,0.015671654821980477,0.019933554817275746
2020-11-28,351667.0,10275.0,,,0.01373742773703532,0.010510948905109488,0.008618949176351491,0.015571776155717762
2020-11-29,357196.0,10351.0,,,0.008681508191581092,-0.0006762631629794222,0.014431852540341997,0.005120278233987054
2020-11-30,361464.0,10383.0,,,0.005704579155877211,0.0009631127805065973,0.010219551601265963,0.002215159395165174
2020-12-01,367140.0,10563.0,,,0.012240562183363295,-0.00104137082268295,0.010568175627825898,0.008520306731042317
2020-12-02,375431.0,10757.0,,,0.0010974053820808618,0.002417030770660965,0.004682618110917852,0.007808868643673887
